author	description	retweet
jedaikuro	No order  Pokemon Platinum  Knights Of The Old Republic  Final Fantasy IV Yakuza 0 Elder Scrolls IV Oblivion Fallout New Vegas Final Fantasy XIV Mario Odyssey  Halo 3 Pokemon Emerald https://t.co/EsCqrkWvN4	false
aeok18109	RT @GoNintendoTweet: Honest Game Trailers - Super Mario Odyssey https://t.co/nhyAZBRJCp https://t.co/n61NHC6cGl	true
polmisertist	Be sure to vote super Mario odyssey for Game of the Year you dingus #SuperMarioOdyssey	false
EscoDaGreat	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
diotiddies	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
AnttiKole	Kick that ball #SuperMarioOdyssey #NintendoSwitch https://t.co/TvS556yJli	false
EphraimVanguard	Mario Odyssey's not included with this because I still haven't played it. But the point still stands.	false
Jugulator__95	RT @CrispyLust: Games to get instead of Battlefront II like a sane person and not be a corporate slave:  Persona 5 Super Mario Odys… 	true
Ottawa_Tourism	RT @2017ottawa: Be tonight's ultimate CHAMP!  Join us tonight @Carleton_U (Mackenzie Building Courtyard) from 5 to 8:30 to play the… 	true
Ralphhv18	I liked a @YouTube video https://t.co/GpEelzq112 SUPER MARIO ODYSSEY (Honest Game Trailers)	false
MemberTriggered	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
ImSoClever16	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
skylershag	Another one #SuperMarioOdyssey #NintendoSwitch https://t.co/F17jZCAfyp	false
YouOdysseyThis	RT @skylershag: Another one #SuperMarioOdyssey #NintendoSwitch https://t.co/F17jZCAfyp	true
SlyxTiiX	I liked a @YouTube video https://t.co/dLaacElpqC SUPER MARIO ODYSSEY (Honest Game Trailers)	false
timothydcooks	Super Mario Odyssey is my pick for Best Action/Adventure Game @thegameawards - Live on December 7 https://t.co/ChVY3bRzWJ	false
t_rothlisberger	Just now noticing the DKC references.  #SuperMarioOdyssey #NintendoSwitch https://t.co/CnixzOFPkp	false
oddballsailor	How dare you compare Super Mario Odyssey and Persona 5 to each other  One has amazing writing, beautiful landscapes, tearjerking scenes and unforgettable characters  And the other is Persona 5 https://t.co/2eZpkMtslm	false
Even_Cortex	Super Mario Odyssey is my pick for Best Action/Adventure Game @thegameawards - Live on December 7 https://t.co/JAUE13CcRQ	false
demonic_boi	The rest the Gushen keep failing to spawn  #SuperMarioOdyssey #NintendoSwitch #glitch https://t.co/iw3nPuvEDp	false
mrey135	2,698 Jumps, my highest in the Jump-Rope Challenge #SuperMarioOdyssey #NintendoSwitch https://t.co/g2W2VCZOCo	false
LhylianLucas	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
RemedyG	RT @The__Goomba: Finally, this is how I'll play all the time now. #SuperMarioOdyssey #NintendoSwitch https://t.co/eG64og3jBE	true
LavaBarocca	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
Even_Cortex	Super Mario Odyssey is my pick for Best Family Game @thegameawards - Live on December 7 https://t.co/JAUE13CcRQ	false
jsnlxndrlv	@britishgaming @zarawesome Between NieR: Automata & Mario Odyssey, it definitely feels like this is the year to switch back and forth between the orchestral and chiptune versions of a song to recognize a change of gameplay mode.	false
qrey470	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
sharif_yasser	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
carl_knows	RT @TopHatLucario: I'm so proud of this speedrun! #SuperMarioOdyssey #NintendoSwitch https://t.co/5MUHO9TbKW	true
AnttiKole	Dat feel when you find the best suit in the game #SuperMarioOdyssey #NintendoSwitch https://t.co/stTLBg6pEI	false
Cloudhead15	Luigi looks different in this game #SuperMarioOdyssey #NintendoSwitch https://t.co/JjbzKT0Nvw	false
DanGotuzo	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
Volta_Bass	People got stuck playing the fishing minigame in Nier Automata... again. https://t.co/BEQAmQAMXv	false
weirdlilmexican	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
wararicey	One of these is not like the others 🧐 https://t.co/CDReoLN57B	false
