author	description	retweet
SpoopyKitt	I\'m streaming tomorrow at 9EST SUPER MARIO ODYSSEY 😈 https://t.co/3afpP6jvok	False
SpoilerThrond	Convenient how each world in Mario Odyssey has a wedding-themed treasure for Bowser to steal.	False
PRgamer124	Super Mario Odyssey was a fantastic experience start to finish, and it looks like the post game will only keep on delivering. Can\'t wait.	False
IrvingVgc	AMIIBO UNBOXING GONE WRONG + FREE MARIO ODYSSEY GIVEAWAY! https://t.co/L45sSOR3NS via @YouTube	False
leonil_is_life	RT @BRKsEDU: Gostei de um vídeo @YouTube https://t.co/Nc0MHpSsMj MARIO ODYSSEY #14 -O Festival de New Donk City e Mais! (Nintendo Switch	True
Jo4k0H4mm3r	Me gustó un video de @YouTube https://t.co/OqFm5GjEwI LIKE &amp; DISLIKE: Xbox One X, Super Mario Odyssey, Call of Duty: WWII (otra	False
Luigiadvance22	Decide to play Splatoon 2 again to fill the void Mario Odyssey left and boy do I suck. I need to get good before the Splatfest begins	False
modernsqueeze	mario odyssey is very good	False
Nemo19089	RT @AstroPancakes: This song in Super Mario Odyssey sounds familiar... https://t.co/oLCjD1t5Na	True
JasperTigerPuff	RT @_Mizumi: Wow this Mario Odyssey hint is getting me kind of ...Lost https://t.co/0AvI7qR1Lq	True
El4sticlov3	@FahimC97 Wanted to get mario odyssey first :S but if faizan backs too idm getting mario kart	False
JeremiahDaBrony	I liked a @YouTube video https://t.co/i6oSQAuprY SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
GeeliganStache	RT @GoNintendoTweet: IGN Video - This Custom Super Mario Odyssey Amiibo is Insanely Realistic https://t.co/2mo0N2xnr7 https://t.co/35sejmjW…	True
AlludeCheshire	i won\'t have anyone to watch bc i don\'t spoilers... I WANT TO GET MARIO ODYSSEY BUT I GUESS I\'LL JUST HAVE TO BORRO… https://t.co/ikqy9dJDnI	False
islissevera	RT @pewdiepie: Just beat Super Mario Odyssey. Too ez, not like dark souls at all 0/10	True
EdgySombrero	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
Evil_Carrot	Ok I was gonna wait a few more days but I got Super Mario Odyssey and I like it more than I like you (probably).	False
theresacrab	I added a video to a @YouTube playlist https://t.co/iTxzkZMAo3 RC Car (Super Mario Kart Remix) - Super Mario Odyssey Soundtrack	False
LovelylilKiller	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
